text,labels
pad nām ī yazdān abdīh ud sahīgīh ī sīstān,"B-PRE,B-N,B-JUNK,B-N,B-N,B-CONJ,B-N,B-JUNK,B-N"
abdīh ud sahīgīh ī zamīg ī sīstān az abārīg šahrīhā ēd rāy abērtar ud weh,"B-N,B-CONJ,B-N,B-JUNK,B-N,B-JUNK,B-N,B-PRE,B-DET,B-N,B-CONJ,I-CONJ,B-ADJ,B-CONJ,B-ADJ"
ēk ēn kū rōd ī hēlmand ud war ī frazdān ud zrēh ī kayānse ud gar ī ušdāštār andar zamīg ī sīstān,"B-NUM,B-PRONOUN,B-CONJ,B-N,B-JUNK,B-N,B-CONJ,B-N,B-JUNK,B-N,B-CONJ,B-N,B-JUNK,B-N,B-CONJ,B-N,B-JUNK,B-N,B-PRE,B-N,B-JUNK,B-N"
ud az frazandān ī ēriǰ bē kanīg-ē any kas be nē mānd,"B-CONJ,B-PRE,B-N,B-JUNK,B-N,B-PRE,B-N,I-N,I-N,B-PRONOUN,I-PRONOUN,B-PRE,B-ADV,B-V"
ud pas frēdōn ō war ī frazdān nīd ud pad-nihān dāšt tā dahom paywand ka az ān kanīg pus zād,"B-CONJ,B-ADV,B-N,B-PRE,B-N,B-JUNK,B-N,B-V,B-CONJ,B-ADJ,I-ADJ,I-ADJ,B-V,B-PRE,B-NUM,B-N,B-CONJ,B-PRE,B-DET,B-N,B-N,B-V"
pas frēdōn ō war ī frazdān šud u-š az ardwīsūr-anāhīd ud abārīg yazadān āyaft xwāst ud pad abāz-ārāstan ī ērān-šahr ud xwarrah ī kayān abārīg yazadān kē andar sīstān gāh mehmānīh abardar āyaft windād abāg mānūščihr ud ōyšān ērān āfrīn,"B-ADV,B-N,B-PRE,B-N,B-JUNK,B-N,B-V,B-CONJ,I-CONJ,I-CONJ,B-PRE,B-N,I-N,I-N,B-CONJ,B-DET,B-N,B-N,B-V,B-CONJ,B-PRE,B-N,I-N,I-N,B-JUNK,B-N,I-N,I-N,B-CONJ,B-N,B-JUNK,B-N,B-DET,B-N,B-CONJ,B-PRE,B-N,B-N,B-N,B-ADJ,B-N,B-V,B-PRE,B-N,B-CONJ,B-DET,B-N,B-N"
ēk ēn kū wištāsp šāh dēn pad war ī frazdān kard rawāgīh fradom pad sīstān ud pas pad abārīg šahrīhā,"B-NUM,B-PRONOUN,B-CONJ,B-N,B-N,B-N,B-PRE,B-N,B-JUNK,B-N,B-V,B-N,B-NUM,B-PRE,B-N,B-CONJ,B-ADV,B-PRE,B-DET,B-N"
dēn andar sīstān ō čāštan rawāg dāštan rāy panǰāh nask pad dūdag ī wehān frāz raft,"B-N,B-PRE,B-N,B-PRE,B-N,B-ADJ,B-N,B-POST,B-NUM,B-N,B-PRE,B-N,B-JUNK,B-N,B-ADV,B-V"
nask-ē duzd-sar-nizad xwānēnd čiyōn sēn ud burz-mihr ī zarduštān pad wirāstagīh ī ān būd ī windād,"B-N,I-N,I-N,B-N,I-N,I-N,I-N,I-N,B-V,B-ADV,B-N,B-CONJ,B-N,I-N,I-N,B-JUNK,B-ADJ,B-PRE,B-N,B-JUNK,B-PRONOUN,B-V,B-JUNK,B-V"
ka gizistag aleksandar ī hrōmāy ō ērān-šahr mad ōyšān kē pad brēh ī mow-mardīh raft hēnd grift hēnd ōzad hēnd,"B-CONJ,B-ADJ,B-N,B-JUNK,B-ADJ,B-PRE,B-N,I-N,I-N,B-V,B-PRONOUN,B-CONJ,B-PRE,B-N,B-JUNK,B-N,I-N,I-N,B-V,I-V,B-V,I-V,B-V,I-V"
mard ud rēdak ēw-čand ō sīstān āmad hēnd,"B-N,B-CONJ,B-N,B-DET,I-DET,I-DET,B-PRE,B-N,B-V,I-V"
man kē pad ān gyāg hamāg-dēn-ē yazēnd šādīh ī gōhrīgānīh rāy hādōxt-ē framāyēnd yaštan,"B-PRONOUN,B-CONJ,B-PRE,B-DET,B-N,B-N,I-N,I-N,I-N,I-N,B-V,B-N,B-JUNK,B-N,B-POST,B-N,I-N,I-N,B-V,B-V"
frazaft pad drōd šādīh rāmišn šād ud farrox ud dagr-zīwišn ud pērōzgar ud ahlaw kāmag-hanǰām bawād kē nibišt kē xwēš ud kē xwānēd ašəm,"B-V,B-PRE,B-N,B-N,B-N,B-ADJ,B-CONJ,B-ADJ,B-CONJ,B-ADJ,I-ADJ,I-ADJ,B-CONJ,B-ADJ,B-CONJ,B-ADJ,B-ADJ,I-ADJ,I-ADJ,B-V,B-CONJ,B-V,B-CONJ,B-N,B-CONJ,B-CONJ,B-V,B-NUM"
pad nām ī yazdān ayādgār ī wuzurg-mihr ǰadag ī nēk bawād ān ī weh pad tan ud ruwān ud xwāstag ēdōn bawād,"B-PRE,B-N,B-JUNK,B-N,B-N,B-JUNK,B-N,I-N,I-N,B-N,B-JUNK,B-ADJ,B-V,B-PRONOUN,B-CONJ,B-ADJ,B-PRE,B-N,B-CONJ,B-N,B-CONJ,B-N,B-ADV,B-V"
man wuzurg-mihr ī bōxtagān dēwānbed šabestān šahr ī ōstīgān-husraw darīgbed ēn ayādgār pad ayārīh ud nērōg ī yazadān ud abārīg har mēnōg weh-āmōg ī az framān dād husraw šāhān-šāh frahang weh būdan ud šāyistan ōyšān kē pad padīriftārīh ī az abargarān hubrēhēnišnīhā ud arzānīgīhā abar brēhēnīd ēstād rāy kard ud pad ganǰ ī šāhīgān nihād,"B-PRONOUN,B-N,I-N,I-N,B-JUNK,B-ADJ,B-N,I-N,B-N,B-N,B-JUNK,B-N,I-N,I-N,B-N,I-N,I-N,B-DET,B-N,B-PRE,B-N,B-CONJ,B-N,B-JUNK,B-N,B-CONJ,B-DET,B-DET,B-N,B-N,I-N,I-N,I-N,B-CONJ,B-PRE,B-N,B-ADJ,B-N,B-N,I-N,I-N,B-N,B-ADJ,B-N,B-CONJ,B-N,I-N,B-PRONOUN,B-CONJ,B-PRE,B-N,B-JUNK,B-PRE,B-N,B-ADV,I-ADV,I-ADV,I-ADV,B-CONJ,B-ADV,B-PRE,B-V,I-V,B-POST,B-V,B-CONJ,B-PRE,B-N,B-JUNK,B-ADJ,B-V"
pad ōstīgānīh ān ī and tis dūr-menīdārtom ud ka dagrtom andar dranāy ī ēw-sad sāl tan ō ī frazām ud pādixšāyīh ō nēstīh ud andar dranāy čahār-sad sāl dūdag ō wišōbišn nām ō framōšīh ud anayādīh ud mān ud mēhan ō awērānīh ud ālūdagīh ud nāf paywand ō frōdtarīh ud abāšīh ud tuxšišn ō abēbarīh ud ranǰ ud bār ō tuhīgīh ud pādixšāyīh ō āwām xwadāyān xīr ō ōy mānēd kē zamān farroxīh andar ān ēd brēhēnīd ēstēd ud tis frašgirdīh pattāyēd ud nē wišōbēd ēwāz ahlāyīh dām frašgirdīg ud kunišn ī frārōn pad ēč kas appurdan nē tuwān,"B-PRE,B-N,B-JUNK,I-JUNK,B-DET,B-N,B-ADJ,I-ADJ,I-ADJ,I-ADJ,B-CONJ,B-CONJ,B-ADJ,I-ADJ,B-PRE,B-N,B-JUNK,B-NUM,I-NUM,I-NUM,B-N,B-N,B-PRE,I-PRE,B-N,B-CONJ,B-N,B-PRE,B-N,B-CONJ,B-PRE,B-N,B-NUM,I-NUM,I-NUM,B-N,B-N,B-PRE,B-N,B-N,B-PRE,B-N,I-N,B-CONJ,B-N,I-N,I-N,B-CONJ,B-N,B-CONJ,B-N,B-PRE,B-N,I-N,B-CONJ,B-N,I-N,I-N,B-CONJ,B-N,B-N,B-PRE,B-N,I-N,B-CONJ,B-N,I-N,I-N,B-CONJ,B-N,B-PRE,B-N,I-N,B-CONJ,B-N,B-CONJ,B-N,B-PRE,B-N,B-CONJ,B-N,B-PRE,B-N,B-N,B-N,B-PRE,B-PRONOUN,B-V,B-CONJ,B-N,B-N,I-N,B-PRE,B-PRONOUN,B-ADV,B-V,I-V,B-CONJ,B-N,B-ADJ,I-ADJ,B-V,B-CONJ,B-ADV,B-V,B-ADV,B-N,B-N,B-ADJ,B-CONJ,B-N,B-JUNK,B-ADJ,B-PRE,B-PRONOUN,I-PRONOUN,B-V,B-ADV,B-V"
